,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-3513353119850106583,Google e GFT firmam parceria para testes com foco em blockchain - Startupi,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,Blockchain startup R3 cuts fund-raising target to $150 million: source,Are you a bitcoin denialist? - Chris Skinner's blog,4 Blockchain Macro Trends: Where to Place Your Bets,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk
-3499919498720038879,Hiri wants to fix the workplace email problem,Understanding the Twitter topic Tracker,"Cozmo Is the Smartest, Cutest AI-Powered Robot You've Ever Seen","Secret's founder returns with Bold, a Medium for enterprise",Uma recepção eficiente,2016 will be the year of conversational commerce - Chris Messina
-3488100191290830083,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",Making digital strategy a reality in insurance,What do Design Thinking and Marketing have in common?,Blockchain Huge Potential For The Insurance Industry,Chatbots are revolutionizing customer support,Séries com lições sobre empreendedorismo: As 7 melhores!
-3482581255202910790,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Road to Polymer 2.0,"Why Performance Matters, Part 3: Tolerance Management - Smashing Magazine",bliki: StranglerApplication,Kotlin no Backend (Parte 2) :: Concrete Solutions,Building Flipkart Lite: A Progressive Web App
-3469502952547705884,AEM 6.1 Package Manager Metadata Files,Workspace Filter,Adobe CQ/Adobe AEM,Configuring OSGi,Deep learning software knows that a rose is a rose is a rosa rubiginosa,Multi-Channel Marketing in 2015 - It's not rocket science.
-3462051751080362224,Support your Gmail users more easily with revamped bounce messages and message headers,Google Maps agora mostra se local tem entrada com acessibilidade | Google Discovery,Evernote anuncia integração com Google Drive | Google Discovery,Fuchsia: Google está construindo um novo sistema operacional sem estrutura do Linux | Google Discovery,"Google Save, serviço para salvar coisas da web, chega ao Brasil | Google Discovery",Google is secretly creating a new OS that's not based on Linux
-3460883803089049921,Marketing Technology Landscape Supergraphic (2016) - Chief Marketing Technologist,"The new, scary face of auto insurance",Singapore bank wants you to talk to its chatbot to get your banking done,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,"""Empresas inovadoras não fazem produtos - constroem conceitos que se tornam experiências irresistíveis""",MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons
-3450690190989108770,Why AI consolidation will create the worst monopoly in US history,Physicists have discovered what makes neural networks so extraordinarily powerful,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,The 200 billion dollar chatbot disruption,71 erros de vocabulário e pronúncia em inglês que você faz
-3428996085514172371,Facebook at Work pushed to 'later this year',10 Stats About Artificial Intelligence That Will Blow You Away -- The Motley Fool,2016 will be the year of conversational commerce - Chris Messina,Seria Stranger Things uma obra de arte do algoritmo da Netflix?,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Why Steve Jobs Was Proud to Steal Ideas
-3417523159811412977,Desenvolvimento Efetivo na Plataforma Microsoft: o livro.,Adulterated Objective-C,Announcing .NET Core 1.0,Microsoft and HackerRank bring executable code snippets to Bing's search results pages,Open Source Giant Red Hat Launches First Blockchain Initiative - CoinDesk,The Future of Pen: Windows Ink
-3410781775610270991,Deep Learning Demystified,Artificial intelligence is changing SEO faster than you think,An MIT Algorithm Predicts the Future by Watching TV,How Green Was My Valley (1941),This Super Accurate Portrait Selection Tech Uses Neural Networks,Good Software Takes Ten Years. Get Used To it.
-3405516291669853723,TEDxSãoPaulo,How Green Was My Valley (1941),Game Of Thrones e suas lições de liderança | Endeavor Brasil,MasterTech - Como ter um bom relacionamento com a Escrita,To Use Physical Or To Use Virtual: That is the container deployment question,How We Lost 47% of Our Users After a Redesign | Icons8
-3400154175330058574,Skill swarms - a new way to share expertise and work smarter together - Skillhive,Shopping app Spring's redesign could be a game-changer,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Deep learning software knows that a rose is a rose is a rosa rubiginosa,Why Uber Is Killing the Bank (And What That Means for Everything Else)
-3395906801262755897,CHATBOTS EXPLAINED: Why businesses should be paying attention to the chatbot revolution,What is IT's role in digital transformation?,Trooly is using machine learning to judge trustworthiness from digital footprints,Five priorities for competing in an era of digital globalization,"Razorfish, US digital revenues, drag down Publicis",A new sales technology stack is coming
-3387298624573211014,"Facebook lança Workplace, versão da rede social para empresas",[Videos] This fake TED Talk about nothing might be the best you've ever seen,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room","[Hangout] StartSe promove hangout gratuito com Caio Poli, do Nubank; inscreva-se",[Books] Biblioteca FIXE: Sugestões de Leitura,[GTD] Forget About Setting Goals. Focus on This Instead.
-3368357500455466403,O Empreendedorismo no Mercado de Seguros,VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,Hero unveils a new home gadget to help you track and dispense pills,Self-Driving Cars and Insurance,Adobe and Microsoft Partner in the Azure Cloud to Help Businesses Transform Customer Engagement,Democratizing AI
-3367778232969996503,"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",Slice Labs raises $3.9M to insure on-demand workers when they're on the job,Twitter adds a button to help you train its algorithm,Google IO 2016: A look at how not to run a large event,Ray Kurzweil Predicts Three Technologies Will Define Our Future,What SWAG will Google I/O 2016 attendees take home?
-3363563881552061188,Do you want Crappy Agile?,An operating model for company-wide agile development,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",Big IT Rising,"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Globant acquires WAE to continue advancing in the creation of digital journeys
-3351656282247453586,Microsoft expands its support for Docker containers,Docker 1.12: Now with Built-in Orchestration!,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",What to Inspect When You are Inspecting!,Browser Trends December 2016: Mobile Overtakes Desktop
-3351652027149912881,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",A Technical Primer On Causality,Andrew Ng: What AI Can and Can't Do,Building a high-throughput data science machine,Probabilistic Programming,Mastering Software Development in R · Simply Statistics
-3348652277274905234,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Google lança experimentos com inteligência artificial | Google Discovery,Physicists have discovered what makes neural networks so extraordinarily powerful,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Inteligência artificial do Google é capaz de descrever imagens | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi
-3338916066794638254,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,[FILME] - The Hammer,Announcing Docker Hub Classic,How to Start a Telegram Bot With PHP,Introducing Style Detection for Google Cloud Vision API
-3336755617029300430,Inception (2010),Captain Fantastic (2016),Facebook at Work pushed to 'later this year',"YouTube pode lançar serviço de televisão online ""Unplugged"" em 2017 | Google Discovery",Incendies (2010),Shutter Island (2010)
-3324787160651928845,Biggy quer melhorar recomendação de produtos no e-commerce nacional com big data - Empresas Tech,"The ""Joel Test"" for Data Science",O IPO é a saída para a Netshoes?,Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,"Como o e-commerce brasileiro pode, enfim, começar a lucrar"
-3307413259092352650,An Overly Thorough Guide To Underused Android Libraries,How Kotlin became our primary language for Android - UPTech Team,How Do Top Android Developers QA Test Their Apps?,"Applying the Linus Torvalds ""Good Taste"" Coding Requirement",Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,"Onion Creates a $5 Linux Computer with Wi-Fi, Designed for IoT Applications"
-3302834510061927448,Bayer anuncia compra da Monsanto por US$ 66 bilhões,Optimizing Elasticsearch Searches,"Heroína, nazistas e agente laranja: por dentro da fusão do ano",Empresas intensificam operações de barter diante da dificuldade de crédito,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Robôs (bots) serão tão populares quanto apps; entenda a nova tendência
-3299064309968644318,This CEO Runs a Billion-Dollar Company With No Offices or Email,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,Lady Gaga's startup Backplane burns out and sells assets,Microsoft is taking its cues from Facebook as it totally shakes up Office,Aggregations,Build Zappos like faceted navigation with ElasticSearch
-3285397592982852407,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,Visa lança desafio para startups de tecnologia - Startupi,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Visa inaugura Co-Creation Center em São Paulo,You won't recognize the new world of digital payments without this report
-3275688295651945765,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Measuring email effectiveness in retail banking,Bancos brasileiros fecham 200 agências em 2015 - Home - iG,E os vencedores do Latam Founders Awards 2016 são... - Startupi,Abrimos uma conta no Original.
-3269885695260066314,The Competitive Landscape for Machine Intelligence,"Cozmo Is the Smartest, Cutest AI-Powered Robot You've Ever Seen",Machines are learning to find concealed weapons in x-ray scans,8 things to expect from Google's biggest event of the year,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,Gmail API: New endpoints for settings
-3267081294086663175,Microsoft's Digital Post-It Is Powered By Your Office's Horrible Lighting,Google releases keyboard for the iPhone with built-in search features,Chrome extension brings Medium's best feature to the whole Web,Google unveils a gigapixel 'Art Camera' that lets you view paintings down to the brushstrokes,Adulterated Objective-C,"Google and Levi's team up on a ""connected"" jacket that lets you answer calls, use maps, and more"
-3258959365023720872,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine,Dasa compra maior rede de laboratórios do Nordeste,Dasa multiplica lucro em 6 vezes no terceiro trimestre,Saúde entra na era da indústria 4.0 | EXAME.com,Tecnologia transforma gestão na área de saúde | EXAME.com,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo
-3248233692182971167,Debugging WordPress: 11 Powerful Tips and Techniques,Addressing Accessibility for the Web,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Dries Buytaert,Monitor your application errors with Stackdriver Error Reporting,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor
-3234984575507976056,MasterTech - Como ter um bom relacionamento com a Escrita,How Green Was My Valley (1941),TEDxSãoPaulo,How We Lost 47% of Our Users After a Redesign | Icons8,Readable Content Guides,What Pinterest learned in two years working on its search engine
-3231932874544830919,Facebook vai lançar sua nova rede social corporativa no mês que vem,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",Don't Waste Your Time on Networking Events,Why Steve Jobs Was Proud to Steal Ideas,Inside the offices of New York's biggest startups,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up"
-3224698078244963479,20 Awesome PHP Libraries For Early 2017,Hedron: Or my dissatisfaction with local development #Drupal,Soylent's new drink will replace your breakfast and morning coffee,Improving Drupal 8's API-first: JSON API and OAuth2?,Hacked Website Report - 2016/Q3,The door for new contributors to Drupal is still locked
-3206777048078326150,Google IO 2016: A look at how not to run a large event,What SWAG will Google I/O 2016 attendees take home?,Twitter adds a button to help you train its algorithm,"Apple acquires Turi, a machine learning company",New Sessions Added To Google I/O 2016 Schedule,Ray Kurzweil Predicts Three Technologies Will Define Our Future
-3191013159715472435,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,LIBERAÇÃO MIOFASCIAL - O QUE É E COMO FAZER,Gartner Reprint,Inteligência artificial do Google aprende a aprimorar fotos como nos filmes | Google Discovery,Passada longa ou curta?,New blog from Dries: How should you decouple Drupal?
-3173020603774823976,Welcome Google Cloud Platform!,IAM best practice guides available now,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,"Building Chatbots with Node.js - Online Training - July 13 & 14, 2016",Building AI Is Hard-So Facebook Is Building AI That Builds AI
-3170855186954139022,Introducing JQL: A Query Language for Analytics,Why Steve Jobs Was Proud to Steal Ideas,Caravel: Airbnb's data exploration platform - Airbnb Engineering & Data Science,Uma recepção eficiente,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,Exclusive: Why Microsoft is betting its future on AI
-3170829374166745427,[Article] 23 fascinating diagrams reveal how to negotiate with people around the world,[GTD] Forget About Setting Goals. Focus on This Instead.,[Videos] Bill Gross: The single biggest reason why startups succeed,[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,[Event] Palestra Competitive Strategy and Competition,[Tools] How to Record your Desktop Screen with YouTube
-3170783292462058942,Não existe frete grátis!,Dafiti registra alto crescimento no 1º semestre de 2016,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Ranking 50 Maiores Empresas do E-commerce Brasileiro/2016
-3169423801125605259,Amazon has a huge opportunity in grocery delivery,Mobile Time,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Meet the new Brazilian consumer,"Sua empresa já tem um ""Open Innovation Lab"" ? - CIO",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo
-3161714324304758767,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",The return of the machinery question,Walmart compra startup para brigar com Amazon | EXAME.com,America's allies are preparing for a bumpy ride,Automation and anxiety,Carrefour começa a operar e-commerce no Brasil | EXAME.com
-3136683414587095274,Marketplace,Portal Mercado & Consumo,Clarifying the uses of artificial intelligence in the enterprise,"Bot do Facebook Messenger simula entrevista para o processo de ""3%""","Fresco, sim! - Android Dev BR",Analytics startup Amplitude raises $15M
-3134743773662773628,Deck describing how MSFT plans to use Linkedin,What DeepMind brings to Alphabet,Cognitive Services-Intelligence Applications | Microsoft Azure,Wide & Deep Learning: Better Together with TensorFlow,Mycroft: The open source answer to natural language platforms,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery"
-3130182799308303924,"XP lançará robô que seleciona melhores investimentos para clientes, diz CEO",CMN regulamenta abertura de conta de depósito por meio eletrônico,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,Lean and banking: the pot of gold waiting to be discovered | Blog post,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com
-3102652803014865472,Conselho da SABMiller aceita proposta de compra da AB InBev,Where accountability really matters,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Here's How L'Oréal Plans To Continue Its Digital Innovation,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre"
-3102446808559723934,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,GE integra inteligência artificial Alexa em uma lâmpada circular,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,This Tiny Robot Lets You Play God With Huge AI,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets
-3095494965842381869,"Fintechs can help incumbents, not just disrupt them",Organizing for digital acceleration: Making a two-speed IT operating model work,GE Digital snags ServiceMax for $915 million,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,10 principles of business transformation,You won't recognize the new world of digital payments without this report
-3077386995956755130,Startup uses deep learning to let you shop for items by snapping photos,TI Bimodal? Receita para o desastre...,Digital Leadership Is Not an Optional Part of Being a CEO,Building with Watson Technical Web Series,Event Map For Google I/O 2016 Released,"Google, Amazon and the upcoming battle over AI Assistants"
-3071732669882279801,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,"Fintechs can help incumbents, not just disrupt them",How to E-Mail a Busy Person & get a Reply - Desk of van Schneider,Stop Trying to Sound Smart When You're Writing,Mobile marketing statistics 2016,TECNISA melhora performance de marketing digital com estratégias em parceira com o Google
-3061741807736367554,"Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",Google is quietly recording everything you say. Here's how to hear it,Tango: See more with a new kind of phone,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion","Google Drive grows more powerful, feature by feature - TechRepublic"
-3060116862184714437,Where is the bank's digital vision? - Chris Skinner's blog,Digital Consumers Forced to Open Accounts in Branches,How to get the most from your agency relationships in 2017,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Digital Leadership Is Not an Optional Part of Being a CEO,American Express ... and the Book of Mormon - Chris Skinner's blog
-3059841990815099417,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Practical VPC Design - AWS Startup Collection,Achievement Unlocked : AWS Certified Solutions Architect Professional,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%)
-3058031327323357308,The Java 8 API Design Principles,Micro Profile JavaEE com Wildfly Swarm,Java 9 na prática: Jigsaw,Home-Made Twitter and Gmail Notifications with PHP and Arduino,Amazon EBS Update - New Elastic Volumes Change Everything | AWS Blog,Things you probably didn't know you could do with Chrome's Developer Console
-3040610224044779845,Things you probably didn't know you could do with Chrome's Developer Console,The hardest thing in computer science,Standing on the Shoulders of Giants - Built to Adapt,How it feels to learn Javascript in 2016,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Why Programmers Want Private Offices
-3037091822980174821,Paquetá investe em tecnologia inédita no varejo brasileiro,TI Bimodal? Receita para o desastre...,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Hero unveils a new home gadget to help you track and dispense pills,Portal Mercado & Consumo,12 Best Slack Communities for Every Professional
-3027055440570405664,Joel on Software,Apple is working on an AI system that wipes the floor with Google and everyone else,"Twitter killed Magic Recs, the only useful bot there is","Autofill: What web devs should know, but don't","AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Good Software Takes Ten Years. Get Used To it.
-3020916840917845519,Hype Driven Development,Optimizing the Performance of Vector Drawables - upday devs,Introduction To Chatbots,"Why Performance Matters, Part 3: Tolerance Management - Smashing Magazine",Ciclistas relatam roubos com agressividade na avenida dos Andradas,How to Design a Walkthrough That Users Will Read
-3015446245469915661,"Ai, que preguiça | Site Drauzio Varella",LIBERAÇÃO MIOFASCIAL - O QUE É E COMO FAZER,1º Congresso Brasileiro de IoT - Embarcados,Peças Translúcidas,Como consumir conteúdo de qualidade em iOS - CocoaHeads BR,Good developers take breaks * Greetings Programs
-2976850014387537414,Google: Here's how a software update knocked out our App Engine cloud | ZDNet,Dries Distributions remain a growing opportunity for Drupal - Buytaert,Addressing Accessibility for the Web,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business,Jury finds Google's implementation of Java in Android was fair use
-2967429522197137387,2.3.0 Release Notes,Docker Engine 1.11 with runC: Announcing the general availability of the industry's first OCI-compliant runtime,"Dropbox open-sources Lepton, a compression algorithm that cuts JPEG file size by 22%",Why 2016 is shaping up to be the Year of the Bot,Google now uses machine learning to make reading comics on phones easier,Snapchat shares security best practices for running on GCP
-2948321821574578861,Quando usar paginação e quando usar scroll infinito?,How Blockchain Technology Can Improve the Insurance Industry,Ray Kurzweil Predicts Three Technologies Will Define Our Future,Twitter adds a button to help you train its algorithm,Google IO 2016: A look at how not to run a large event,What SWAG will Google I/O 2016 attendees take home?
-2923886912694084893,Salesforce adds some artificial intelligence to customer service products,Most Interesting APIs in 2016: Cognitive Computing,Discutindo Devops na Prática,Gartner: em 2020 não haverá mais aplicativos,Seguradoras divulgam resultados de 2016 - Apólice,Stackdriver Debugger now works with source code directly in GitHub and Bitbucket
-2899726011463496555,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Nubank e Goldman fecham parceria de R$ 200 milhões,E os vencedores do Latam Founders Awards 2016 são... - Startupi,CMN regulamenta abertura de conta de depósito por meio eletrônico,JPMorgan is Quietly Developing a Private Ethereum Blockchain - CoinDesk
-2896441888220202695,"Simple rolls out shared bank accounts that work for anyone, including roommates",The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles,Strategyzer | Business Model Generation - Book,Google e GFT firmam parceria para testes com foco em blockchain - Startupi,Google's fair use victory is good for open source,Qual é o país mais inovador do mundo?
-2890958311805113955,Unilever: The biggest digital start-up in the world?,American Express ... and the Book of Mormon - Chris Skinner's blog,Large CPGs are under attack by startups... and consumers are winning,Google Expands Android Pay APIs,Nubank pode fechar as portas se BC confirmar mudança amanhã,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor
-2871347907044769386,Making Sense of Unstructured Data with Google Cloud NL API,Restb.ai: Why custom computer vision as a service makes sense | ZDNet,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,How I got into the top 15 of a Kaggle competition in 3 days: A Python Tutorial,Google's artificial intelligence is going in the wrong direction,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
-2860224288374811338,How I Passed the AWS Solutions Architect Professional Exam,AWS Certified Solutions Architect Professional – Study Guide – Domain 1.0 – High Availability and Business Continuity (15%),AWS Certified Solutions Architect Professional – Study Guide – Domain 7.0: Scalability and Elasticity (15%),AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Practical VPC Design - AWS Startup Collection,AWS Certified Solutions Architect Professional – Study Guide – Domain 8.0: Cloud Migration and Hybrid Architecture (10%)
-2855910583928922225,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",This Super Accurate Portrait Selection Tech Uses Neural Networks,How Green Was My Valley (1941),WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,To Use Physical Or To Use Virtual: That is the container deployment question,Calm down: Google's use of Material Design on iOS is fine
-2855218766021441159,Support Ended for Eclipse Android Developer Tools,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Android Quickstart - Firebase,World's Fastest Growing Open Source Platform Pushes Out New Release,How to send better push notifications - the complete guide to push notifications - Growth Bug - App World,How Kotlin became our primary language for Android - UPTech Team
-2841995722250280583,This Battery-Free Computer Sucks Power Out Of Thin Air,Home-Made Twitter and Gmail Notifications with PHP and Arduino,Larry Page's dream of building a 'Google Island' could be coming true,University of Washington partners with Disney to develop cheap touch-sensitive paper - GeekWire,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,These gloves can convert sign language into spoken English
-2828628091730682303,Serverless Architectures,What to Inspect When You are Inspecting!,New blog from Dries: How should you decouple Drupal?,The Netflix Tech Blog: Netflix Billing Migration to AWS,Eclipse Foundation Releases Neon,Aplicações Financeiras Flexíveis através de DSLs na Plataforma Java
-2808969983997441543,CSS Containment in Chrome 52 | Web Updates - Google Developers,Ethereum Used for 'First' Paid Energy Trade Using Blockchain Tech - CoinDesk,Aurelia 1.0 is Here!!!,A Baseline for Hybrid Mobile Developers,Omnitone: Spatial audio on the web,Say Hello to React CDK - KADIRA VOICE
-2808959554282640221,Java 8 Streams : 10 missing features,Especialistas trazem tendências de UX para 2017 - KingHost,Java Garbage Collection Essencial,Browser Trends December 2016: Mobile Overtakes Desktop,Python - It's metaclasses all the way down,Como testar exceções em Java com o JUnit - Code a Test
-2780168264183400543,In the Long Run,Introducing the Startup Battlefield companies of Disrupt NY 2016,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Digital Health Coaching,Threaded messaging is coming to Slack
-2778760500673113802,"Bitcoin Mining, Ethereum Mining, Cloud Mining: 2016 Overview",The future of agriculture - Jim Womack visits a lean farm,Google Cloud Goes to the Farm,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO","Carne artificial acabará com o agronegócio brasileiro, afirma especialista",TAM recebe primeira aeronave com o design e pintura da LATAM e avança na implantação da nova marca!
-2774293088092853604,Message buttons and the Slack API - Slack Platform Blog,"There will be a Drupal 9, and here is why",Woolworths,Why Is Learning Drupal Hard?,This Super Accurate Portrait Selection Tech Uses Neural Networks,PCI Compliance & Drupal Commerce: Which Payment Gateway Should I Choose?
-2752345899464432864,Design Patterns: Progressive Disclosure for Mobile Apps,"Twitter killed Magic Recs, the only useful bot there is","AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Making open source data more available,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",Shopping app Spring's redesign could be a game-changer
-2747266787901704910,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Cargill anuncia mudanças estratégicas para fortalecer a marca Nutron,Tetra Pak Cheese and Powder Systems acquires Laude,Agronegócio mantém crescimento com tecnologia - inova.jor,Largest IoT Event Kicks Off at Santa Clara Convention Center,"Heroína, nazistas e agente laranja: por dentro da fusão do ano"
-2740396993975951758,SOA com microserviços - Sensedia,Spring Boot 1.4 released,Migrating to the New Java 8 Date Time API | Baeldung,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog","A Geospatial Messenger with Kotlin, Spring Boot and PostgreSQL",Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso
-2720012228333470715,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Measuring email effectiveness in retail banking,"contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object","Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Google researchers teach AIs to see the important parts of images - and tell you about them,Shopping app Spring's redesign could be a game-changer
-2715495584815099454,Improving Drupal 8's API-first: JSON API and OAuth2?,Testing a new Drupal 8 installation with 2 Docker commands,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Dries Buytaert,"Handling context in ""outside-in"""
-2708021095252721995,SAMSUNG OCEAN - Novas turmas de treinamento de 2017 - Embarcados,"Fresco, sim! - Android Dev BR",WeakReference in Android - Google Developers Experts,Testes unitários vs aceitação - Android Dev BR,Android Mobile Vision restores operation and adds Text API | Android Developers Blog,Programação Reativa Funcional com RxJava
-2705245562881239338,O RH chega ao board,IBM Watson is about to make Slack's chat bot smarter,Understanding the Twitter topic Tracker,"YouTube pode lançar serviço de televisão online ""Unplugged"" em 2017 | Google Discovery",Facebook at Work pushed to 'later this year',Aggregations
-2697906762425596568,"Tenho várias ideias de negócios, qual devo levar adiante?",Developing iOS 9 Apps with Swift - Curso grátis de Stanford no iTunes U,Building AI Is Hard-So Facebook Is Building AI That Builds AI,Android Quickstart - Firebase,How Apple Keyboards Lost a Logo and Windows PCs Gained One,"Estonia wants to become a 'country as a service' and already has 10,000 virtual residents"
-2683134512107439488,Mary Meeker's essential 2016 Internet Trends Report,"Razorfish, US digital revenues, drag down Publicis",Large CPGs are under attack by startups... and consumers are winning,Segment helps businesses integrate third-party sources into their data pipelines,3M e o perfil intraempreendedor | Endeavor Brasil,A new sales technology stack is coming
